Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
5, 3658, 683, 12, 12, 20, 3, 
5, 3672, 533, 26, 25, 18, 1, 
5, 3676, 947, 15, 15, 47, 4, 
5, 3685, 739, 40, 40, 277, 5, 
5, 3691, 1011, 67, 67, 355, 5, 
5, 3697, 523, 176, 170, 14, 2, 
5, 3706, 1324, 223, 210, 177, 3, 
5, 3711, 1366, 5, 4, 4, 3, 
5, 3740, 956, 147, 147, 38, 3, 
5, 3741, 480, 26, 24, 33, 3, 
5, 3753, 388, 28, 28, 20, 3, 
5, 3775, 559, 59, 59, 6, 1.44, 
5, 3775, 1047, 57, 57, 15, 2, 
5, 3779, 1132, 7, 7, 8, 3, 
5, 3783, 1022, 27, 27, 7, 3, 
5, 3784, 927, 165, 165, 725, 5, 
5, 3785, 862, 3, 3, 4, 2.67, 
5, 3788, 513, 10, 9, 3, 2, 
5, 3797, 928, 6, 6, 29, 4.83, 
5, 3807, 1096, 47, 47, 8, 2, 
5, 3811, 948, 44, 44, 24, 3, 
5, 3824, 1002, 83, 83, 81, 3, 
5, 3837, 610, 96, 96, 111, 3, 
5, 3849, 943, 70, 0, 0, 0, 
5, 3866, 806, 13, 12, 20, 3, 
5, 3875, 711, 350, 343, 15, 1, 
5, 3881, 858, 85, 82, 13, 3, 
5, 3889, 723, 38, 1, 5, 4, 
5, 3900, 535, 9, 9, 32, 4, 
5, 3901, 871, 51, 39, 1, 1, 
5, 3909, 943, 4, 1, 1, 2, 
5, 3913, 1169, 20, 14, 11, 3, 
5, 3915, 1087, 96, 90, 21, 2, 
5, 3927, 732, 274, 267, 104, 1.96, 
5, 3936, 909, 22, 19, 4, 3, 
5, 3942, 877, 117, 48, 7, 3, 
5, 3943, 1094, 12, 11, 4, 2, 
5, 3960, 509, 27, 27, 12, 2.41, 
5, 3961, 1027, 64, 0, 0, 0, 
5, 3976, 1011, 48, 43, 7, 2, 
5, 3981, 1050, 128, 93, 7, 2, 
5, 3994, 992, 39, 39, 37, 3, 
5, 3999, 1211, 141, 141, 554, 4, 
5, 4007, 745, 128, 119, 22, 2, 
5, 4009, 521, 2, 2, 4, 2.5, 
5, 4023, 795, 44, 44, 64, 3, 
5, 4025, 820, 25, 0, 0, 0, 
5, 4044, 788, 33, 0, 0, 0, 
5, 4044, 1071, 10, 0, 0, 0, 
5, 4045, 1250, 109, 99, 26, 2, 
5, 4053, 566, 13, 12, 16, 3, 
5, 4062, 759, 10, 6, 1, 1, 
5, 4065, 1404, 31, 31, 138, 4, 
5, 4068, 540, 27, 0, 0, 0, 
5, 4086, 579, 37, 31, 6, 2, 
5, 4095, 1154, 12, 0, 0, 0, 
5, 4115, 739, 5, 5, 35, 5, 
5, 4129, 239, 69, 55, 3, 1, 
5, 4129, 958, 60, 60, 67, 3, 
5, 4148, 671, 52, 48, 18, 3, 
5, 4151, 1488, 88, 88, 108, 3, 
5, 4152, 558, 19, 19, 20, 3, 
5, 4153, 814, 2, 2, 4, 3, 
5, 4153, 1399, 32, 28, 9, 1, 
5, 4154, 1053, 27, 27, 80, 2.93, 
5, 4159, 934, 114, 112, 60, 3, 
5, 4164, 418, 4, 0, 0, 0, 
5, 4168, 445, 19, 0, 0, 0, 
5, 4168, 1058, 5, 5, 11, 3, 
5, 4173, 908, 28, 28, 38, 3, 
5, 4173, 934, 8, 8, 7, 3, 
5, 4173, 1108, 97, 96, 40, 3, 
5, 4184, 312, 20, 20, 148, 5, 
5, 4188, 1414, 33, 32, 27, 3, 
5, 4190, 356, 88, 88, 109, 3, 
5, 4202, 1140, 55, 52, 7, 1, 
5, 4205, 410, 78, 78, 78, 3, 
5, 4208, 215, 20, 20, 22, 3, 
5, 4226, 653, 125, 124, 76, 3, 
5, 4231, 1102, 15, 0, 0, 0, 
5, 4235, 612, 181, 180, 143, 3, 
5, 4237, 705, 54, 51, 18, 3, 
5, 4243, 662, 14, 1, 3, 4, 
5, 4247, 162, 17, 7, 1, 2, 
5, 4260, 317, 75, 75, 32, 3, 
5, 4260, 542, 92, 90, 92, 3, 
5, 4269, 350, 174, 174, 12, 2, 
5, 4285, 1088, 71, 0, 0, 0, 
5, 4286, 741, 11, 0, 0, 0, 
5, 4287, 867, 28, 28, 4, 1, 
5, 4288, 1311, 25, 25, 12, 1.88, 
5, 4293, 254, 201, 199, 56, 2, 
5, 4297, 1251, 65, 62, 9, 2, 
5, 4300, 1255, 54, 0, 0, 0, 
5, 4311, 1088, 59, 57, 50, 3, 
5, 4316, 466, 15, 13, 5, 3, 
5, 4316, 1135, 49, 49, 61, 3, 
5, 4322, 778, 11, 0, 0, 0, 
5, 4327, 918, 14, 0, 0, 0, 
5, 4328, 1148, 41, 40, 42, 3, 
5, 4343, 1342, 22, 22, 95, 4, 
5, 4347, 1081, 9, 0, 0, 0, 
5, 4351, 242, 5, 5, 5, 2.6, 
5, 4358, 423, 100, 100, 95, 3, 
5, 4360, 974, 155, 145, 20, 1.82, 
5, 4360, 1127, 17, 17, 13, 3, 
5, 4369, 1423, 57, 57, 280, 4, 
5, 4375, 719, 52, 52, 32, 3, 
5, 4376, 859, 28, 0, 0, 0, 
5, 4383, 518, 103, 103, 107, 3, 
5, 4385, 484, 5, 5, 6, 3, 
5, 4394, 1103, 3, 1, 2, 3, 
5, 4401, 620, 20, 0, 0, 0, 
5, 4411, 1086, 2, 0, 0, 0, 
5, 4411, 1220, 66, 51, 9, 2, 
5, 4412, 522, 44, 0, 0, 0, 
5, 4432, 478, 25, 25, 41, 3, 
5, 4459, 1184, 87, 86, 95, 3, 
5, 4463, 322, 34, 30, 2, 1, 
5, 4465, 568, 3, 0, 0, 0, 
5, 4466, 842, 43, 25, 2, 1, 
5, 4467, 1138, 146, 48, 8, 2, 
5, 4471, 1351, 5, 0, 0, 0, 
5, 4472, 1587, 21, 21, 18, 3, 
5, 4492, 216, 90, 89, 65, 3, 
5, 4492, 832, 23, 23, 22, 3, 
5, 4496, 962, 144, 143, 21, 2, 
5, 4497, 1142, 53, 47, 11, 2, 
5, 4497, 1346, 24, 24, 12, 2.92, 
5, 4505, 990, 77, 77, 57, 2.97, 
5, 4518, 986, 87, 82, 30, 2.4, 
5, 4525, 715, 165, 164, 82, 2, 
5, 4526, 833, 11, 11, 44, 4, 
5, 4529, 425, 111, 106, 21, 2, 
5, 4530, 1367, 2, 0, 0, 0, 
5, 4536, 536, 10, 10, 51, 5, 
5, 4561, 301, 73, 63, 8, 1.79, 
5, 4574, 431, 75, 75, 242, 4, 
5, 4575, 1047, 136, 126, 26, 2, 
5, 4576, 1083, 56, 56, 25, 2, 
5, 4592, 747, 46, 46, 220, 4.93, 
5, 4597, 1033, 30, 29, 7, 2, 
5, 4600, 1012, 70, 69, 52, 3, 
5, 4602, 1228, 75, 75, 21, 1.97, 
5, 4609, 972, 9, 5, 1, 1, 
5, 4609, 1444, 43, 42, 46, 3, 
5, 4613, 690, 3, 0, 0, 0, 
5, 4621, 705, 15, 13, 6, 2, 
5, 4628, 1100, 97, 97, 286, 2.99, 
5, 4629, 1451, 62, 62, 300, 4, 
5, 4636, 1124, 11, 11, 14, 2.91, 
5, 4647, 1213, 4, 3, 2, 1, 
5, 4648, 1145, 2, 1, 2, 3, 
5, 4652, 815, 9, 5, 1, 1, 
5, 4659, 977, 193, 193, 150, 3, 
5, 4659, 1395, 36, 36, 29, 3, 
5, 4663, 305, 6, 4, 4, 3, 
5, 4667, 619, 12, 0, 0, 0, 
5, 4668, 757, 15, 14, 16, 3, 
5, 4668, 1045, 27, 25, 5, 2, 
5, 4692, 347, 27, 26, 5, 2, 
5, 4692, 626, 47, 42, 7, 2, 
5, 4718, 1075, 3, 3, 1, 1, 
5, 4722, 765, 100, 100, 40, 3, 
5, 4753, 1056, 18, 18, 7, 1.11, 
5, 4754, 714, 18, 14, 2, 1, 
5, 4765, 946, 13, 10, 4, 2, 
5, 4779, 889, 112, 112, 97, 3, 
5, 4781, 436, 81, 81, 339, 4, 
5, 4781, 592, 109, 107, 47, 3, 
5, 4781, 1462, 45, 45, 12, 2, 
5, 4790, 586, 96, 87, 3, 1, 
