Time,InsectName,StartYear,StopYear,MeanDefoliation,NumSitesDefoliated0_33,NumSitesDefoliated33_66,NumSitesDefoliated66_100,NumOutbreakInitialSites,MortalityBiomass,
148, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
149, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
150, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
151, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
152, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
153, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
154, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
155, FTC, 155, 155, 0.0981, 3742933, 122175, 155764, 379645, 0, 
156, FTC, 0, 0, 0, 0, 0, 0, 0, 58781348, 
157, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
158, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
159, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
160, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
161, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
162, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
163, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
164, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
165, FTC, 165, 166, 0.0944, 3760566, 118902, 140864, 348434, 0, 
166, FTC, 165, 166, 0.0754, 3847544, 143221, 30361, 348434, 55095694, 
167, FTC, 0, 0, 0, 0, 0, 0, 0, 55097872, 
168, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
169, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
170, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
171, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
172, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
173, FTC, 173, 174, 0.092, 3780727, 116404, 130584, 329530, 0, 
174, FTC, 173, 174, 0.0746, 3862932, 138436, 28628, 329530, 54894683, 
175, FTC, 0, 0, 0, 0, 0, 0, 0, 56559892, 
176, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
177, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
178, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
179, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
180, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
181, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
182, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
183, FTC, 183, 184, 0.0938, 3775541, 120583, 135241, 356192, 0, 
184, FTC, 183, 184, 0.0742, 3870954, 136964, 25390, 356192, 66088973, 
185, FTC, 0, 0, 0, 0, 0, 0, 0, 64216533, 
186, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
187, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
188, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
189, FTC, 0, 0, 0, 0, 0, 0, 0, 0, 
