Time,ManagementArea,Prescription,HarvestedSites,TotalCohortsCompleteHarvest,TotalCohortsPartialHarvest,TotalBiomassHarvested,CohortsHarvested_ABIEBALS,CohortsHarvested_ACERPENS,CohortsHarvested_ACERRUBR,CohortsHarvested_ACERSACC,CohortsHarvested_BETUALLE,CohortsHarvested_BETULENT,CohortsHarvested_BETUPAPY,CohortsHarvested_CARYCORD,CohortsHarvested_CARYOVAT,CohortsHarvested_FAGUGRAN,CohortsHarvested_FRAXAMER,CohortsHarvested_PICEABIE,CohortsHarvested_PICERUBE,CohortsHarvested_PINURESI,CohortsHarvested_PINUSTRO,CohortsHarvested_POPUGRAN,CohortsHarvested_POPUTREM,CohortsHarvested_PRUNPENS,CohortsHarvested_PRUNSERO,CohortsHarvested_QUERALBA,CohortsHarvested_QUERRUBR,CohortsHarvested_TILIAMER,CohortsHarvested_TSUGCANA,BiomassHarvestedMg_ABIEBALS,BiomassHarvestedMg_ACERPENS,BiomassHarvestedMg_ACERRUBR,BiomassHarvestedMg_ACERSACC,BiomassHarvestedMg_BETUALLE,BiomassHarvestedMg_BETULENT,BiomassHarvestedMg_BETUPAPY,BiomassHarvestedMg_CARYCORD,BiomassHarvestedMg_CARYOVAT,BiomassHarvestedMg_FAGUGRAN,BiomassHarvestedMg_FRAXAMER,BiomassHarvestedMg_PICEABIE,BiomassHarvestedMg_PICERUBE,BiomassHarvestedMg_PINURESI,BiomassHarvestedMg_PINUSTRO,BiomassHarvestedMg_POPUGRAN,BiomassHarvestedMg_POPUTREM,BiomassHarvestedMg_PRUNPENS,BiomassHarvestedMg_PRUNSERO,BiomassHarvestedMg_QUERALBA,BiomassHarvestedMg_QUERRUBR,BiomassHarvestedMg_TILIAMER,BiomassHarvestedMg_TSUGCANA,
5, 85, OakShelterWood, 25, 107, 57, 197.67150785476, 0, 0, 11, 31, 21, 5, 1, 0, 0, 12, 23, 0, 0, 0, 3, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 7.51230029851198, 74.1897029480338, 21.5595008566976, 3.0303001204133, 2.56590010195971, 0, 0, 5.12370020359755, 32.8230013042688, 0, 0, 0, 7.51590029865503, 0, 0, 0, 0, 0, 43.3512017226219, 0, 0, 
5, 85, NHWShelterwood, 26, 8, 96, 120.282304779589, 0, 0, 0, 47, 7, 0, 0, 0, 0, 42, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79.9704031777382, 8.08830032140017, 0, 0, 0, 0, 8.19270032554865, 24.0309009549022, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 85, NHWSingleTreeSelection, 4, 0, 10, 23.2947009256482, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 20.1708008015156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.12390012413263, 0, 0, 
5, 89, ClearCutSmall, 89, 387, 0, 1533.56226093829, 0, 0, 15, 146, 41, 0, 1, 0, 0, 123, 48, 0, 0, 0, 2, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 8.17650032490492, 1010.65504015982, 166.05720659852, 0, 0.0693000027537346, 0, 0, 141.060605605245, 154.333806132674, 0, 0, 0, 4.49640017867088, 0, 0, 0, 0, 0, 48.7134019356966, 0, 0, 
5, 89, SoftwoodRelease, 116, 537, 0, 1342.77575335711, 0, 3, 139, 68, 136, 1, 40, 0, 0, 52, 39, 0, 0, 0, 0, 6, 18, 4, 12, 0, 19, 0, 0, 0, 1.57410006254911, 99.6183039584756, 413.075716414153, 490.946419508457, 0.433800017237663, 19.2690007656813, 0, 0, 107.518504272401, 84.0240033388138, 0, 0, 0, 0, 5.79150023013353, 11.9385004743934, 0.0396000015735626, 37.7955015018582, 0, 70.7508028113842, 0, 0, 
5, 89, PlantationConversion, 82, 392, 0, 860.899534209073, 10, 0, 47, 59, 30, 0, 3, 0, 0, 14, 5, 142, 19, 0, 5, 2, 20, 0, 4, 0, 0, 0, 32, 2.33640009284019, 0, 30.1086011964083, 452.187017968297, 126.711905035079, 0, 0.127800005078316, 0, 0, 59.5719023671746, 7.27650028914213, 99.2277039429545, 2.73870010882616, 0, 32.0589012739062, 0.00360000014305115, 7.38180029332638, 0, 9.30600036978722, 0, 0, 0, 31.8627012661099, 
5, 89, GroupSelection, 54, 267, 0, 934.613137138188, 2, 0, 14, 106, 47, 1, 7, 0, 0, 57, 12, 0, 1, 0, 1, 0, 4, 1, 8, 0, 4, 0, 2, 0.29070001155138, 0, 8.10900032222271, 597.933923759758, 120.896104803979, 0.433800017237663, 7.19370028585196, 0, 0, 89.8902035719156, 35.6202014154196, 0, 0.190800007581711, 0, 1.47420005857944, 0, 1.58940006315708, 0.00990000039339066, 48.0789019104838, 0, 22.1850008815527, 0, 0.717300028502941, 
5, 89, GroupSelectionBeechUnderstory, 128, 567, 0, 2124.31598441273, 0, 0, 13, 220, 81, 1, 0, 0, 0, 196, 46, 0, 1, 0, 0, 0, 0, 0, 4, 0, 3, 0, 2, 0, 0, 10.6407004228234, 1402.90565574646, 278.716511075199, 0.433800017237663, 0, 0, 0, 247.499109834731, 144.462605740428, 0, 0.190800007581711, 0, 0, 0, 0, 0, 15.5952006196976, 0, 23.1543009200692, 0, 0.717300028502941, 
5, 89, OakShelterWood, 18, 84, 47, 132.352205259204, 0, 0, 7, 24, 18, 2, 0, 0, 0, 11, 20, 0, 0, 0, 2, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 4.53780018031597, 42.459301687181, 16.295400647521, 0.887400035262108, 0, 0, 0, 4.52970017999411, 21.1356008398533, 0, 0, 0, 4.30920017123222, 0, 0, 0, 0, 0, 38.1978015178442, 0, 0, 
5, 89, NHWShelterwood, 72, 32, 287, 331.013713153303, 0, 0, 6, 135, 28, 0, 3, 0, 0, 121, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2.22480008840561, 220.644008767605, 22.3524008882046, 0, 0.985500039160252, 0, 0, 25.5132010138035, 56.94120226264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35260009348392, 0, 0, 
