Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
5, 5117, 863, 83, 74, 7, 2, 
5, 5118, 999, 4, 0, 0, 0, 
5, 5120, 483, 116, 115, 102, 3, 
5, 5126, 1040, 22, 20, 10, 2.8, 
5, 5139, 569, 200, 169, 13, 1.98, 
5, 5139, 680, 2, 1, 1, 1, 
5, 5148, 1064, 42, 35, 7, 2, 
5, 5152, 611, 32, 0, 0, 0, 
5, 5164, 678, 19, 13, 2, 1, 
5, 5188, 1049, 95, 95, 424, 4, 
5, 5189, 522, 14, 13, 7, 1.92, 
5, 5194, 840, 117, 0, 0, 0, 
5, 5210, 502, 3, 0, 0, 0, 
5, 5218, 711, 7, 7, 2, 1, 
5, 5220, 724, 132, 125, 77, 3, 
5, 5221, 1094, 2, 0, 0, 0, 
