"class","npixels","year","areaHa","scenario","rep"
"8",6758,2023,608.22,"Current","Rep4"
"9",117594,2023,10583.46,"Current","Rep4"
"10",9291,2023,836.19,"Current","Rep4"
"11",126933,2023,11423.97,"Current","Rep4"
"12",43834,2023,3945.06,"Current","Rep4"
"13",722,2023,64.98,"Current","Rep4"
"0",716332,2024,64469.88,"Current","Rep4"
"1",985508,2024,88695.72,"Current","Rep4"
"2",89452,2024,8050.68,"Current","Rep4"
"3",424955,2024,38245.95,"Current","Rep4"
"4",98669,2024,8880.21,"Current","Rep4"
"5",79179,2024,7126.11,"Current","Rep4"
"6",149485,2024,13453.65,"Current","Rep4"
"7",6363,2024,572.67,"Current","Rep4"
"8",6773,2024,609.57,"Current","Rep4"
"9",116735,2024,10506.15,"Current","Rep4"
"10",9032,2024,812.88,"Current","Rep4"
"11",126293,2024,11366.37,"Current","Rep4"
"12",43743,2024,3936.87,"Current","Rep4"
"13",714,2024,64.26,"Current","Rep4"
"0",716081,2025,64447.29,"Current","Rep4"
"1",986889,2025,88820.01,"Current","Rep4"
"2",89195,2025,8027.55,"Current","Rep4"
"3",426744,2025,38406.96,"Current","Rep4"
"4",98835,2025,8895.15,"Current","Rep4"
"5",79160,2025,7124.4,"Current","Rep4"
"6",149837,2025,13485.33,"Current","Rep4"
"7",6365,2025,572.85,"Current","Rep4"
"8",6785,2025,610.65,"Current","Rep4"
"9",113869,2025,10248.21,"Current","Rep4"
"10",9009,2025,810.81,"Current","Rep4"
"11",125985,2025,11338.65,"Current","Rep4"
"12",43765,2025,3938.85,"Current","Rep4"
"13",714,2025,64.26,"Current","Rep4"
"0",715796,2026,64421.64,"Current","Rep4"
"1",988285,2026,88945.65,"Current","Rep4"
"2",89239,2026,8031.51,"Current","Rep4"
"3",426042,2026,38343.78,"Current","Rep4"
"4",99005,2026,8910.45,"Current","Rep4"
"5",79184,2026,7126.56,"Current","Rep4"
"6",152214,2026,13699.26,"Current","Rep4"
"7",6367,2026,573.03,"Current","Rep4"
"8",6793,2026,611.37,"Current","Rep4"
"9",110944,2026,9984.96,"Current","Rep4"
"10",8998,2026,809.82,"Current","Rep4"
"11",125860,2026,11327.4,"Current","Rep4"
"12",43792,2026,3941.28,"Current","Rep4"
"13",714,2026,64.26,"Current","Rep4"
"0",715467,2027,64392.03,"Current","Rep4"
"1",989461,2027,89051.49,"Current","Rep4"
"2",90167,2027,8115.03,"Current","Rep4"
"3",425363,2027,38282.67,"Current","Rep4"
"4",99133,2027,8921.97,"Current","Rep4"
"5",79469,2027,7152.21,"Current","Rep4"
"6",152949,2027,13765.41,"Current","Rep4"
"7",6368,2027,573.12,"Current","Rep4"
"8",6806,2027,612.54,"Current","Rep4"
"9",108588,2027,9772.92,"Current","Rep4"
"10",8986,2027,808.74,"Current","Rep4"
"11",125895,2027,11330.55,"Current","Rep4"
"12",43867,2027,3948.03,"Current","Rep4"
"13",714,2027,64.26,"Current","Rep4"
"0",715155,2028,64363.95,"Current","Rep4"
"1",990534,2028,89148.06,"Current","Rep4"
"2",90121,2028,8110.89,"Current","Rep4"
"3",424440,2028,38199.6,"Current","Rep4"
"4",99153,2028,8923.77,"Current","Rep4"
"5",81110,2028,7299.9,"Current","Rep4"
"6",153259,2028,13793.31,"Current","Rep4"
"7",6368,2028,573.12,"Current","Rep4"
"8",6812,2028,613.08,"Current","Rep4"
"9",106796,2028,9611.64,"Current","Rep4"
"10",8956,2028,806.04,"Current","Rep4"
"11",125913,2028,11332.17,"Current","Rep4"
"12",43901,2028,3951.09,"Current","Rep4"
"13",715,2028,64.35,"Current","Rep4"
"0",720591,2029,64853.19,"Current","Rep4"
"1",989321,2029,89038.89,"Current","Rep4"
"2",91329,2029,8219.61,"Current","Rep4"
"3",422235,2029,38001.15,"Current","Rep4"
"4",98950,2029,8905.5,"Current","Rep4"
"5",81448,2029,7330.32,"Current","Rep4"
"6",153315,2029,13798.35,"Current","Rep4"
"7",6369,2029,573.21,"Current","Rep4"
"8",6803,2029,612.27,"Current","Rep4"
"9",104387,2029,9394.83,"Current","Rep4"
"10",8717,2029,784.53,"Current","Rep4"
"11",125302,2029,11277.18,"Current","Rep4"
"12",43750,2029,3937.5,"Current","Rep4"
"13",716,2029,64.44,"Current","Rep4"
"0",720316,2030,64828.44,"Current","Rep4"
"1",990978,2030,89188.02,"Current","Rep4"
"2",91041,2030,8193.69,"Current","Rep4"
"3",421592,2030,37943.28,"Current","Rep4"
"4",99100,2030,8919,"Current","Rep4"
"5",82084,2030,7387.56,"Current","Rep4"
"6",153069,2030,13776.21,"Current","Rep4"
"7",6370,2030,573.3,"Current","Rep4"
"8",6811,2030,612.99,"Current","Rep4"
"9",103407,2030,9306.63,"Current","Rep4"
"10",8683,2030,781.47,"Current","Rep4"
"11",125257,2030,11273.13,"Current","Rep4"
"12",43809,2030,3942.81,"Current","Rep4"
"13",716,2030,64.44,"Current","Rep4"
"0",719867,2031,64788.03,"Current","Rep4"
"1",992794,2031,89351.46,"Current","Rep4"
"2",90760,2031,8168.4,"Current","Rep4"
"3",420773,2031,37869.57,"Current","Rep4"
"4",99125,2031,8921.25,"Current","Rep4"
"5",81654,2031,7348.86,"Current","Rep4"
"6",153980,2031,13858.2,"Current","Rep4"
"7",6373,2031,573.57,"Current","Rep4"
"8",6825,2031,614.25,"Current","Rep4"
"9",102979,2031,9268.11,"Current","Rep4"
"10",8651,2031,778.59,"Current","Rep4"
"11",124909,2031,11241.81,"Current","Rep4"
"12",43826,2031,3944.34,"Current","Rep4"
"13",717,2031,64.53,"Current","Rep4"
"0",719453,2032,64750.77,"Current","Rep4"
"1",993702,2032,89433.18,"Current","Rep4"
"2",90620,2032,8155.8,"Current","Rep4"
"3",420641,2032,37857.69,"Current","Rep4"
"4",99173,2032,8925.57,"Current","Rep4"
"5",81108,2032,7299.72,"Current","Rep4"
"6",155019,2032,13951.71,"Current","Rep4"
"7",6373,2032,573.57,"Current","Rep4"
"8",6837,2032,615.33,"Current","Rep4"
"9",102347,2032,9211.23,"Current","Rep4"
"10",8631,2032,776.79,"Current","Rep4"
"11",124776,2032,11229.84,"Current","Rep4"
"12",43836,2032,3945.24,"Current","Rep4"
"13",717,2032,64.53,"Current","Rep4"
"0",719019,2033,64711.71,"Current","Rep4"
"1",995108,2033,89559.72,"Current","Rep4"
"2",90382,2033,8134.38,"Current","Rep4"
"3",422186,2033,37996.74,"Current","Rep4"
"4",97578,2033,8782.02,"Current","Rep4"
"5",80631,2033,7256.79,"Current","Rep4"
"6",156632,2033,14096.88,"Current","Rep4"
"7",6374,2033,573.66,"Current","Rep4"
"8",6846,2033,616.14,"Current","Rep4"
"9",100984,2033,9088.56,"Current","Rep4"
"10",8623,2033,776.07,"Current","Rep4"
"11",124314,2033,11188.26,"Current","Rep4"
"12",43839,2033,3945.51,"Current","Rep4"
"13",717,2033,64.53,"Current","Rep4"
"0",725238,2034,65271.42,"Current","Rep4"
"1",994660,2034,89519.4,"Current","Rep4"
"2",88242,2034,7941.78,"Current","Rep4"
"3",423014,2034,38071.26,"Current","Rep4"
"4",97298,2034,8756.82,"Current","Rep4"
"5",80649,2034,7258.41,"Current","Rep4"
"6",156721,2034,14104.89,"Current","Rep4"
"7",6382,2034,574.38,"Current","Rep4"
"8",6845,2034,616.05,"Current","Rep4"
"9",98030,2034,8822.7,"Current","Rep4"
"10",8518,2034,766.62,"Current","Rep4"
"11",123214,2034,11089.26,"Current","Rep4"
"12",43710,2034,3933.9,"Current","Rep4"
"13",712,2034,64.08,"Current","Rep4"
"0",724858,2035,65237.22,"Current","Rep4"
"1",996833,2035,89714.97,"Current","Rep4"
"2",87711,2035,7893.99,"Current","Rep4"
"3",425955,2035,38335.95,"Current","Rep4"
"4",94359,2035,8492.31,"Current","Rep4"
"5",80631,2035,7256.79,"Current","Rep4"
"6",157558,2035,14180.22,"Current","Rep4"
"7",6385,2035,574.65,"Current","Rep4"
"8",6851,2035,616.59,"Current","Rep4"
"9",96208,2035,8658.72,"Current","Rep4"
"10",8502,2035,765.18,"Current","Rep4"
"11",122951,2035,11065.59,"Current","Rep4"
"12",43719,2035,3934.71,"Current","Rep4"
"13",712,2035,64.08,"Current","Rep4"
"0",724341,2036,65190.69,"Current","Rep4"
"1",998242,2036,89841.78,"Current","Rep4"
"2",89283,2036,8035.47,"Current","Rep4"
"3",426882,2036,38419.38,"Current","Rep4"
"4",94197,2036,8477.73,"Current","Rep4"
"5",80713,2036,7264.17,"Current","Rep4"
"6",158320,2036,14248.8,"Current","Rep4"
"7",6393,2036,575.37,"Current","Rep4"
"8",6855,2036,616.95,"Current","Rep4"
"9",92182,2036,8296.38,"Current","Rep4"
"10",8474,2036,762.66,"Current","Rep4"
"11",122901,2036,11061.09,"Current","Rep4"
"12",43738,2036,3936.42,"Current","Rep4"
"13",712,2036,64.08,"Current","Rep4"
"0",723974,2037,65157.66,"Current","Rep4"
"1",1000898,2037,90080.82,"Current","Rep4"
"2",89276,2037,8034.84,"Current","Rep4"
"3",428289,2037,38546.01,"Current","Rep4"
"4",93822,2037,8443.98,"Current","Rep4"
"5",79336,2037,7140.24,"Current","Rep4"
"6",160612,2037,14455.08,"Current","Rep4"
"7",6464,2037,581.76,"Current","Rep4"
"8",6858,2037,617.22,"Current","Rep4"
"9",89043,2037,8013.87,"Current","Rep4"
"10",8252,2037,742.68,"Current","Rep4"
"11",121951,2037,10975.59,"Current","Rep4"
"12",43745,2037,3937.05,"Current","Rep4"
"13",713,2037,64.17,"Current","Rep4"
"0",723552,2038,65119.68,"Current","Rep4"
"1",1002622,2038,90235.98,"Current","Rep4"
"2",89552,2038,8059.68,"Current","Rep4"
"3",429978,2038,38698.02,"Current","Rep4"
"4",93190,2038,8387.1,"Current","Rep4"
"5",79194,2038,7127.46,"Current","Rep4"
"6",166442,2038,14979.78,"Current","Rep4"
"7",6468,2038,582.12,"Current","Rep4"
"8",6870,2038,618.3,"Current","Rep4"
"9",81045,2038,7294.05,"Current","Rep4"
"10",8203,2038,738.27,"Current","Rep4"
"11",121650,2038,10948.5,"Current","Rep4"
"12",43754,2038,3937.86,"Current","Rep4"
"13",713,2038,64.17,"Current","Rep4"
"0",729415,2039,65647.35,"Current","Rep4"
"1",1000817,2039,90073.53,"Current","Rep4"
"2",89473,2039,8052.57,"Current","Rep4"
"3",429549,2039,38659.41,"Current","Rep4"
"4",92490,2039,8324.1,"Current","Rep4"
"5",78837,2039,7095.33,"Current","Rep4"
"6",167339,2039,15060.51,"Current","Rep4"
"7",6515,2039,586.35,"Current","Rep4"
"8",6889,2039,620.01,"Current","Rep4"
"9",78885,2039,7099.65,"Current","Rep4"
"10",8134,2039,732.06,"Current","Rep4"
"11",120682,2039,10861.38,"Current","Rep4"
"12",43492,2039,3914.28,"Current","Rep4"
"13",716,2039,64.44,"Current","Rep4"
"0",728973,2040,65607.57,"Current","Rep4"
"1",1001950,2040,90175.5,"Current","Rep4"
"2",89516,2040,8056.44,"Current","Rep4"
"3",430541,2040,38748.69,"Current","Rep4"
"4",91921,2040,8272.89,"Current","Rep4"
"5",78254,2040,7042.86,"Current","Rep4"
"6",168171,2040,15135.39,"Current","Rep4"
"7",6515,2040,586.35,"Current","Rep4"
"8",6904,2040,621.36,"Current","Rep4"
"9",78016,2040,7021.44,"Current","Rep4"
"10",8129,2040,731.61,"Current","Rep4"
"11",120015,2040,10801.35,"Current","Rep4"
"12",43612,2040,3925.08,"Current","Rep4"
"13",716,2040,64.44,"Current","Rep4"
"0",728513,2041,65566.17,"Current","Rep4"
"1",1004713,2041,90424.17,"Current","Rep4"
"2",89898,2041,8090.82,"Current","Rep4"
"3",431414,2041,38827.26,"Current","Rep4"
"4",91382,2041,8224.38,"Current","Rep4"
"5",77265,2041,6953.85,"Current","Rep4"
"6",168620,2041,15175.8,"Current","Rep4"
"7",6517,2041,586.53,"Current","Rep4"
"8",6911,2041,621.99,"Current","Rep4"
"9",75359,2041,6782.31,"Current","Rep4"
"10",8106,2041,729.54,"Current","Rep4"
"11",119546,2041,10759.14,"Current","Rep4"
"12",44273,2041,3984.57,"Current","Rep4"
"13",716,2041,64.44,"Current","Rep4"
"0",728184,2042,65536.56,"Current","Rep4"
"1",1007097,2042,90638.73,"Current","Rep4"
"2",89641,2042,8067.69,"Current","Rep4"
"3",432942,2042,38964.78,"Current","Rep4"
"4",90844,2042,8175.96,"Current","Rep4"
"5",76365,2042,6872.85,"Current","Rep4"
"6",168762,2042,15188.58,"Current","Rep4"
"7",6518,2042,586.62,"Current","Rep4"
"8",6919,2042,622.71,"Current","Rep4"
"9",72032,2042,6482.88,"Current","Rep4"
"10",8096,2042,728.64,"Current","Rep4"
"11",119851,2042,10786.59,"Current","Rep4"
"12",45266,2042,4073.94,"Current","Rep4"
"13",716,2042,64.44,"Current","Rep4"
"0",727650,2043,65488.5,"Current","Rep4"
"1",1008424,2043,90758.16,"Current","Rep4"
"2",89447,2043,8050.23,"Current","Rep4"
"3",432821,2043,38953.89,"Current","Rep4"
"4",90509,2043,8145.81,"Current","Rep4"
"5",76211,2043,6858.99,"Current","Rep4"
"6",169142,2043,15222.78,"Current","Rep4"
"7",6522,2043,586.98,"Current","Rep4"
"8",6930,2043,623.7,"Current","Rep4"
"9",71679,2043,6451.11,"Current","Rep4"
"10",8078,2043,727.02,"Current","Rep4"
"11",119718,2043,10774.62,"Current","Rep4"
"12",45386,2043,4084.74,"Current","Rep4"
"13",716,2043,64.44,"Current","Rep4"
"0",733964,2044,66056.76,"Current","Rep4"
"1",1007171,2044,90645.39,"Current","Rep4"
"2",89168,2044,8025.12,"Current","Rep4"
"3",436499,2044,39284.91,"Current","Rep4"
"4",85516,2044,7696.44,"Current","Rep4"
"5",75858,2044,6827.22,"Current","Rep4"
"6",171994,2044,15479.46,"Current","Rep4"
"7",6532,2044,587.88,"Current","Rep4"
"8",6932,2044,623.88,"Current","Rep4"
"9",66963,2044,6026.67,"Current","Rep4"
"10",7979,2044,718.11,"Current","Rep4"
"11",118768,2044,10689.12,"Current","Rep4"
"12",45181,2044,4066.29,"Current","Rep4"
"13",708,2044,63.72,"Current","Rep4"
"0",733581,2045,66022.29,"Current","Rep4"
"1",1009837,2045,90885.33,"Current","Rep4"
"2",88781,2045,7990.29,"Current","Rep4"
"3",444857,2045,40037.13,"Current","Rep4"
"4",83912,2045,7552.08,"Current","Rep4"
"5",75729,2045,6815.61,"Current","Rep4"
"6",168656,2045,15179.04,"Current","Rep4"
"7",6534,2045,588.06,"Current","Rep4"
"8",6946,2045,625.14,"Current","Rep4"
"9",63644,2045,5727.96,"Current","Rep4"
"10",7974,2045,717.66,"Current","Rep4"
"11",116834,2045,10515.06,"Current","Rep4"
"12",45238,2045,4071.42,"Current","Rep4"
"13",710,2045,63.9,"Current","Rep4"
"0",733210,2046,65988.9,"Current","Rep4"
"1",1012958,2046,91166.22,"Current","Rep4"
"2",88327,2046,7949.43,"Current","Rep4"
"3",446484,2046,40183.56,"Current","Rep4"
"4",82452,2046,7420.68,"Current","Rep4"
"5",75614,2046,6805.26,"Current","Rep4"
"6",168927,2046,15203.43,"Current","Rep4"
"7",6540,2046,588.6,"Current","Rep4"
"8",7026,2046,632.34,"Current","Rep4"
"9",63405,2046,5706.45,"Current","Rep4"
"10",7972,2046,717.48,"Current","Rep4"
"11",114263,2046,10283.67,"Current","Rep4"
"12",45345,2046,4081.05,"Current","Rep4"
"13",710,2046,63.9,"Current","Rep4"
"0",732593,2047,65933.37,"Current","Rep4"
"1",1014288,2047,91285.92,"Current","Rep4"
"2",87575,2047,7881.75,"Current","Rep4"
"3",447043,2047,40233.87,"Current","Rep4"
"4",81914,2047,7372.26,"Current","Rep4"
"5",75580,2047,6802.2,"Current","Rep4"
"6",169358,2047,15242.22,"Current","Rep4"
"7",6543,2047,588.87,"Current","Rep4"
"8",7526,2047,677.34,"Current","Rep4"
"9",63263,2047,5693.67,"Current","Rep4"
"10",7963,2047,716.67,"Current","Rep4"
"11",113291,2047,10196.19,"Current","Rep4"
"12",45586,2047,4102.74,"Current","Rep4"
"13",710,2047,63.9,"Current","Rep4"
"0",732152,2048,65893.68,"Current","Rep4"
"1",1015801,2048,91422.09,"Current","Rep4"
"2",87268,2048,7854.12,"Current","Rep4"
"3",447017,2048,40231.53,"Current","Rep4"
"4",81887,2048,7369.83,"Current","Rep4"
"5",75580,2048,6802.2,"Current","Rep4"
"6",169638,2048,15267.42,"Current","Rep4"
"7",6546,2048,589.14,"Current","Rep4"
"8",7619,2048,685.71,"Current","Rep4"
"9",62772,2048,5649.48,"Current","Rep4"
"10",7957,2048,716.13,"Current","Rep4"
"11",112519,2048,10126.71,"Current","Rep4"
"12",45765,2048,4118.85,"Current","Rep4"
"13",712,2048,64.08,"Current","Rep4"
"0",737176,2049,66345.84,"Current","Rep4"
"1",1014643,2049,91317.87,"Current","Rep4"
"2",88294,2049,7946.46,"Current","Rep4"
"3",446218,2049,40159.62,"Current","Rep4"
"4",81001,2049,7290.09,"Current","Rep4"
"5",76045,2049,6844.05,"Current","Rep4"
"6",170125,2049,15311.25,"Current","Rep4"
"7",6557,2049,590.13,"Current","Rep4"
"8",7631,2049,686.79,"Current","Rep4"
"9",60323,2049,5429.07,"Current","Rep4"
"10",7885,2049,709.65,"Current","Rep4"
"11",110736,2049,9966.24,"Current","Rep4"
"12",45899,2049,4130.91,"Current","Rep4"
"13",700,2049,63,"Current","Rep4"
"0",736802,2050,66312.18,"Current","Rep4"
"1",1016173,2050,91455.57,"Current","Rep4"
"2",88224,2050,7940.16,"Current","Rep4"
"3",449451,2050,40450.59,"Current","Rep4"
"4",79512,2050,7156.08,"Current","Rep4"
"5",75897,2050,6830.73,"Current","Rep4"
"6",170563,2050,15350.67,"Current","Rep4"
"7",6558,2050,590.22,"Current","Rep4"
"8",7646,2050,688.14,"Current","Rep4"
"9",58343,2050,5250.87,"Current","Rep4"
"10",7878,2050,709.02,"Current","Rep4"
"11",108806,2050,9792.54,"Current","Rep4"
"12",46680,2050,4201.2,"Current","Rep4"
"13",700,2050,63,"Current","Rep4"
"0",736147,2051,66253.23,"Current","Rep4"
"1",1017511,2051,91575.99,"Current","Rep4"
"2",88100,2051,7929,"Current","Rep4"
"3",451491,2051,40634.19,"Current","Rep4"
"4",79520,2051,7156.8,"Current","Rep4"
"5",75214,2051,6769.26,"Current","Rep4"
"6",171725,2051,15455.25,"Current","Rep4"
"7",6564,2051,590.76,"Current","Rep4"
"8",7657,2051,689.13,"Current","Rep4"
"9",58104,2051,5229.36,"Current","Rep4"
"10",7871,2051,708.39,"Current","Rep4"
"11",105757,2051,9518.13,"Current","Rep4"
"12",46871,2051,4218.39,"Current","Rep4"
"13",701,2051,63.09,"Current","Rep4"
"0",735628,2052,66206.52,"Current","Rep4"
