"class","npixels","year","areaHa","scenario","rep"
"6",272623,2028,24536.07,"Current","Rep1"
"7",66111,2028,5949.99,"Current","Rep1"
"8",152938,2028,13764.42,"Current","Rep1"
"9",300290,2028,27026.1,"Current","Rep1"
"10",32239,2028,2901.51,"Current","Rep1"
"11",303827,2028,27344.43,"Current","Rep1"
"12",278297,2028,25046.73,"Current","Rep1"
"13",5457,2028,491.13,"Current","Rep1"
"0",5429969,2029,488697.21,"Current","Rep1"
"1",1729517,2029,155656.53,"Current","Rep1"
"2",167202,2029,15048.18,"Current","Rep1"
"3",574028,2029,51662.52,"Current","Rep1"
"4",114818,2029,10333.62,"Current","Rep1"
"5",99358,2029,8942.22,"Current","Rep1"
"6",271805,2029,24462.45,"Current","Rep1"
"7",65947,2029,5935.23,"Current","Rep1"
"8",152865,2029,13757.85,"Current","Rep1"
"9",297772,2029,26799.48,"Current","Rep1"
"10",31248,2029,2812.32,"Current","Rep1"
"11",302363,2029,27212.67,"Current","Rep1"
"12",277705,2029,24993.45,"Current","Rep1"
"13",5407,2029,486.63,"Current","Rep1"
"0",5428880,2030,488599.2,"Current","Rep1"
"1",1731869,2030,155868.21,"Current","Rep1"
"2",165872,2030,14928.48,"Current","Rep1"
"3",574032,2030,51662.88,"Current","Rep1"
"4",114945,2030,10345.05,"Current","Rep1"
"5",99524,2030,8957.16,"Current","Rep1"
"6",272549,2030,24529.41,"Current","Rep1"
"7",65971,2030,5937.39,"Current","Rep1"
"8",152870,2030,13758.3,"Current","Rep1"
"9",297122,2030,26740.98,"Current","Rep1"
"10",30970,2030,2787.3,"Current","Rep1"
"11",302210,2030,27198.9,"Current","Rep1"
"12",277781,2030,25000.29,"Current","Rep1"
"13",5409,2030,486.81,"Current","Rep1"
"0",5428152,2031,488533.68,"Current","Rep1"
"1",1733426,2031,156008.34,"Current","Rep1"
"2",164723,2031,14825.07,"Current","Rep1"
"3",574998,2031,51749.82,"Current","Rep1"
"4",115140,2031,10362.6,"Current","Rep1"
"5",99868,2031,8988.12,"Current","Rep1"
"6",273498,2031,24614.82,"Current","Rep1"
"7",65983,2031,5938.47,"Current","Rep1"
"8",152881,2031,13759.29,"Current","Rep1"
"9",295752,2031,26617.68,"Current","Rep1"
"10",30752,2031,2767.68,"Current","Rep1"
"11",301605,2031,27144.45,"Current","Rep1"
"12",277816,2031,25003.44,"Current","Rep1"
"13",5410,2031,486.9,"Current","Rep1"
"0",5427090,2032,488438.1,"Current","Rep1"
"1",1734345,2032,156091.05,"Current","Rep1"
"2",161497,2032,14534.73,"Current","Rep1"
"3",578986,2032,52108.74,"Current","Rep1"
"4",114219,2032,10279.71,"Current","Rep1"
"5",99488,2032,8953.92,"Current","Rep1"
"6",275379,2032,24784.11,"Current","Rep1"
"7",66009,2032,5940.81,"Current","Rep1"
"8",152870,2032,13758.3,"Current","Rep1"
"9",294934,2032,26544.06,"Current","Rep1"
"10",30592,2032,2753.28,"Current","Rep1"
"11",301266,2032,27113.94,"Current","Rep1"
"12",277919,2032,25012.71,"Current","Rep1"
"13",5410,2032,486.9,"Current","Rep1"
"0",5426077,2033,488346.93,"Current","Rep1"
"1",1737490,2033,156374.1,"Current","Rep1"
"2",155083,2033,13957.47,"Current","Rep1"
"3",585657,2033,52709.13,"Current","Rep1"
"4",113028,2033,10172.52,"Current","Rep1"
"5",98991,2033,8909.19,"Current","Rep1"
"6",277865,2033,25007.85,"Current","Rep1"
"7",66037,2033,5943.33,"Current","Rep1"
"8",152870,2033,13758.3,"Current","Rep1"
"9",293514,2033,26416.26,"Current","Rep1"
"10",30399,2033,2735.91,"Current","Rep1"
"11",299596,2033,26963.64,"Current","Rep1"
"12",277987,2033,25018.83,"Current","Rep1"
"13",5410,2033,486.9,"Current","Rep1"
"0",5434987,2034,489148.83,"Current","Rep1"
"1",1741613,2034,156745.17,"Current","Rep1"
"2",152042,2034,13683.78,"Current","Rep1"
"3",588079,2034,52927.11,"Current","Rep1"
"4",111168,2034,10005.12,"Current","Rep1"
"5",101091,2034,9098.19,"Current","Rep1"
"6",278399,2034,25055.91,"Current","Rep1"
"7",66291,2034,5966.19,"Current","Rep1"
"8",152670,2034,13740.3,"Current","Rep1"
"9",286208,2034,25758.72,"Current","Rep1"
"10",29922,2034,2692.98,"Current","Rep1"
"11",294924,2034,26543.16,"Current","Rep1"
"12",277237,2034,24951.33,"Current","Rep1"
"13",5373,2034,483.57,"Current","Rep1"
"0",5434113,2035,489070.17,"Current","Rep1"
"1",1744588,2035,157012.92,"Current","Rep1"
"2",151939,2035,13674.51,"Current","Rep1"
"3",589310,2035,53037.9,"Current","Rep1"
"4",109869,2035,9888.21,"Current","Rep1"
"5",100920,2035,9082.8,"Current","Rep1"
"6",279763,2035,25178.67,"Current","Rep1"
"7",66438,2035,5979.42,"Current","Rep1"
"8",152680,2035,13741.2,"Current","Rep1"
"9",284391,2035,25595.19,"Current","Rep1"
"10",29763,2035,2678.67,"Current","Rep1"
"11",293546,2035,26419.14,"Current","Rep1"
"12",277310,2035,24957.9,"Current","Rep1"
"13",5374,2035,483.66,"Current","Rep1"
"0",5433228,2036,488990.52,"Current","Rep1"
"1",1747722,2036,157294.98,"Current","Rep1"
"2",153431,2036,13808.79,"Current","Rep1"
"3",590399,2036,53135.91,"Current","Rep1"
"4",109513,2036,9856.17,"Current","Rep1"
"5",100997,2036,9089.73,"Current","Rep1"
"6",280421,2036,25237.89,"Current","Rep1"
"7",66467,2036,5982.03,"Current","Rep1"
"8",152661,2036,13739.49,"Current","Rep1"
"9",279583,2036,25162.47,"Current","Rep1"
"10",29346,2036,2641.14,"Current","Rep1"
"11",293483,2036,26413.47,"Current","Rep1"
"12",277379,2036,24964.11,"Current","Rep1"
"13",5374,2036,483.66,"Current","Rep1"
"0",5432134,2037,488892.06,"Current","Rep1"
"1",1750295,2037,157526.55,"Current","Rep1"
"2",153676,2037,13830.84,"Current","Rep1"
"3",591275,2037,53214.75,"Current","Rep1"
"4",108663,2037,9779.67,"Current","Rep1"
"5",99769,2037,8979.21,"Current","Rep1"
"6",284091,2037,25568.19,"Current","Rep1"
"7",66494,2037,5984.46,"Current","Rep1"
"8",152639,2037,13737.51,"Current","Rep1"
"9",276236,2037,24861.24,"Current","Rep1"
"10",29145,2037,2623.05,"Current","Rep1"
"11",292701,2037,26343.09,"Current","Rep1"
"12",277511,2037,24975.99,"Current","Rep1"
