"class","npixels","year","areaHa","scenario","rep"
"10",30508,2028,2745.72,"Current","Rep1"
"11",306837,2028,27615.33,"Current","Rep1"
"12",278331,2028,25049.79,"Current","Rep1"
"13",5460,2028,491.4,"Current","Rep1"
"0",5424451,2029,488200.59,"Current","Rep1"
"1",1728396,2029,155555.64,"Current","Rep1"
"2",167917,2029,15112.53,"Current","Rep1"
"3",566388,2029,50974.92,"Current","Rep1"
"4",116254,2029,10462.86,"Current","Rep1"
"5",100125,2029,9011.25,"Current","Rep1"
"6",282040,2029,25383.6,"Current","Rep1"
"7",65999,2029,5939.91,"Current","Rep1"
"8",152405,2029,13716.45,"Current","Rep1"
"9",298051,2029,26824.59,"Current","Rep1"
"10",29410,2029,2646.9,"Current","Rep1"
"11",305404,2029,27486.36,"Current","Rep1"
"12",277745,2029,24997.05,"Current","Rep1"
"13",5419,2029,487.71,"Current","Rep1"
"0",5423203,2030,488088.27,"Current","Rep1"
"1",1731120,2030,155800.8,"Current","Rep1"
"2",165961,2030,14936.49,"Current","Rep1"
"3",566889,2030,51020.01,"Current","Rep1"
"4",116745,2030,10507.05,"Current","Rep1"
"5",100327,2030,9029.43,"Current","Rep1"
"6",282591,2030,25433.19,"Current","Rep1"
"7",66023,2030,5942.07,"Current","Rep1"
"8",152370,2030,13713.3,"Current","Rep1"
"9",297240,2030,26751.6,"Current","Rep1"
"10",28980,2030,2608.2,"Current","Rep1"
"11",305343,2030,27480.87,"Current","Rep1"
"12",277793,2030,25001.37,"Current","Rep1"
"13",5419,2030,487.71,"Current","Rep1"
"0",5421837,2031,487965.33,"Current","Rep1"
"1",1733678,2031,156031.02,"Current","Rep1"
"2",164903,2031,14841.27,"Current","Rep1"
"3",566440,2031,50979.6,"Current","Rep1"
"4",116987,2031,10528.83,"Current","Rep1"
"5",100818,2031,9073.62,"Current","Rep1"
"6",284275,2031,25584.75,"Current","Rep1"
"7",66058,2031,5945.22,"Current","Rep1"
"8",152357,2031,13712.13,"Current","Rep1"
"9",295608,2031,26604.72,"Current","Rep1"
"10",28700,2031,2583,"Current","Rep1"
"11",305043,2031,27453.87,"Current","Rep1"
"12",277881,2031,25009.29,"Current","Rep1"
"13",5419,2031,487.71,"Current","Rep1"
"0",5420444,2032,487839.96,"Current","Rep1"
"1",1735076,2032,156156.84,"Current","Rep1"
"2",161956,2032,14576.04,"Current","Rep1"
"3",568046,2032,51124.14,"Current","Rep1"
"4",116954,2032,10525.86,"Current","Rep1"
"5",100784,2032,9070.56,"Current","Rep1"
"6",286854,2032,25816.86,"Current","Rep1"
"7",66091,2032,5948.19,"Current","Rep1"
"8",152315,2032,13708.35,"Current","Rep1"
"9",294601,2032,26514.09,"Current","Rep1"
"10",28510,2032,2565.9,"Current","Rep1"
"11",305012,2032,27451.08,"Current","Rep1"
"12",277941,2032,25014.69,"Current","Rep1"
"13",5420,2032,487.8,"Current","Rep1"
"0",5419552,2033,487759.68,"Current","Rep1"
"1",1738613,2033,156475.17,"Current","Rep1"
"2",159228,2033,14330.52,"Current","Rep1"
"3",572087,2033,51487.83,"Current","Rep1"
"4",115803,2033,10422.27,"Current","Rep1"
"5",100775,2033,9069.75,"Current","Rep1"
"6",288910,2033,26001.9,"Current","Rep1"
"7",66109,2033,5949.81,"Current","Rep1"
"8",152296,2033,13706.64,"Current","Rep1"
"9",292232,2033,26300.88,"Current","Rep1"
"10",28369,2033,2553.21,"Current","Rep1"
"11",302655,2033,27238.95,"Current","Rep1"
"12",277954,2033,25015.86,"Current","Rep1"
"13",5421,2033,487.89,"Current","Rep1"
"0",5428386,2034,488554.74,"Current","Rep1"
"1",1742328,2034,156809.52,"Current","Rep1"
"2",152760,2034,13748.4,"Current","Rep1"
"3",577147,2034,51943.23,"Current","Rep1"
"4",115946,2034,10435.14,"Current","Rep1"
"5",101405,2034,9126.45,"Current","Rep1"
"6",289043,2034,26013.87,"Current","Rep1"
"7",66369,2034,5973.21,"Current","Rep1"
"8",152026,2034,13682.34,"Current","Rep1"
"9",286574,2034,25791.66,"Current","Rep1"
"10",27916,2034,2512.44,"Current","Rep1"
"11",297534,2034,26778.06,"Current","Rep1"
"12",277166,2034,24944.94,"Current","Rep1"
"13",5404,2034,486.36,"Current","Rep1"
"0",5426801,2035,488412.09,"Current","Rep1"
"1",1744939,2035,157044.51,"Current","Rep1"
"2",152251,2035,13702.59,"Current","Rep1"
"3",579063,2035,52115.67,"Current","Rep1"
"4",113484,2035,10213.56,"Current","Rep1"
"5",101428,2035,9128.52,"Current","Rep1"
"6",291333,2035,26219.97,"Current","Rep1"
"7",66393,2035,5975.37,"Current","Rep1"
"8",152003,2035,13680.27,"Current","Rep1"
"9",284861,2035,25637.49,"Current","Rep1"
