"class","npixels","year","areaHa","scenario","rep"
"3",570817,2023,51373.53,"RCP85","Rep2"
"4",210403,2023,18936.27,"RCP85","Rep2"
"6",274925,2023,24743.25,"RCP85","Rep2"
"7",66245,2023,5962.05,"RCP85","Rep2"
"8",153132,2023,13781.88,"RCP85","Rep2"
"9",314263,2023,28283.67,"RCP85","Rep2"
"10",36535,2023,3288.15,"RCP85","Rep2"
"11",305975,2023,27537.75,"RCP85","Rep2"
"12",279071,2023,25116.39,"RCP85","Rep2"
"13",5493,2023,494.37,"RCP85","Rep2"
"0",5422235,2024,488001.15,"RCP85","Rep2"
"1",1720741,2024,154866.69,"RCP85","Rep2"
"2",167790,2024,15101.1,"RCP85","Rep2"
"3",569190,2024,51227.1,"RCP85","Rep2"
"4",209788,2024,18880.92,"RCP85","Rep2"
"6",275492,2024,24794.28,"RCP85","Rep2"
"7",66140,2024,5952.6,"RCP85","Rep2"
"8",152940,2024,13764.6,"RCP85","Rep2"
"9",310997,2024,27989.73,"RCP85","Rep2"
"10",35771,2024,3219.39,"RCP85","Rep2"
"11",305031,2024,27452.79,"RCP85","Rep2"
"12",278430,2024,25058.7,"RCP85","Rep2"
"13",5459,2024,491.31,"RCP85","Rep2"
"0",5421409,2025,487926.81,"RCP85","Rep2"
"1",1722530,2025,155027.7,"RCP85","Rep2"
"2",167844,2025,15105.96,"RCP85","Rep2"
"3",569798,2025,51281.82,"RCP85","Rep2"
"4",209846,2025,18886.14,"RCP85","Rep2"
"6",277170,2025,24945.3,"RCP85","Rep2"
"7",66162,2025,5954.58,"RCP85","Rep2"
"8",152928,2025,13763.52,"RCP85","Rep2"
"9",307964,2025,27716.76,"RCP85","Rep2"
"10",35580,2025,3202.2,"RCP85","Rep2"
"11",304819,2025,27433.71,"RCP85","Rep2"
"12",278495,2025,25064.55,"RCP85","Rep2"
"13",5459,2025,491.31,"RCP85","Rep2"
"0",5420529,2026,487847.61,"RCP85","Rep2"
"1",1723933,2026,155153.97,"RCP85","Rep2"
"2",167722,2026,15094.98,"RCP85","Rep2"
"3",568660,2026,51179.4,"RCP85","Rep2"
"4",210051,2026,18904.59,"RCP85","Rep2"
"6",280819,2026,25273.71,"RCP85","Rep2"
"7",66172,2026,5955.48,"RCP85","Rep2"
"8",152893,2026,13760.37,"RCP85","Rep2"
"9",305036,2026,27453.24,"RCP85","Rep2"
"10",35379,2026,3184.11,"RCP85","Rep2"
"11",304771,2026,27429.39,"RCP85","Rep2"
"12",278580,2026,25072.2,"RCP85","Rep2"
"13",5459,2026,491.31,"RCP85","Rep2"
"0",5419636,2027,487767.24,"RCP85","Rep2"
"1",1728616,2027,155575.44,"RCP85","Rep2"
"2",168710,2027,15183.9,"RCP85","Rep2"
"3",566912,2027,51022.08,"RCP85","Rep2"
"4",210364,2027,18932.76,"RCP85","Rep2"
"6",282812,2027,25453.08,"RCP85","Rep2"
"7",66194,2027,5957.46,"RCP85","Rep2"
"8",152855,2027,13756.95,"RCP85","Rep2"
"9",302681,2027,27241.29,"RCP85","Rep2"
"10",32218,2027,2899.62,"RCP85","Rep2"
"11",304790,2027,27431.1,"RCP85","Rep2"
"12",278757,2027,25088.13,"RCP85","Rep2"
"13",5459,2027,491.31,"RCP85","Rep2"
"0",5418813,2028,487693.17,"RCP85","Rep2"
"1",1731789,2028,155861.01,"RCP85","Rep2"
"2",167073,2028,15036.57,"RCP85","Rep2"
"3",567035,2028,51033.15,"RCP85","Rep2"
"4",211660,2028,19049.4,"RCP85","Rep2"
"6",283034,2028,25473.06,"RCP85","Rep2"
"7",66215,2028,5959.35,"RCP85","Rep2"
"8",152834,2028,13755.06,"RCP85","Rep2"
"9",301135,2028,27102.15,"RCP85","Rep2"
"10",31297,2028,2816.73,"RCP85","Rep2"
"11",304812,2028,27433.08,"RCP85","Rep2"
"12",278848,2028,25096.32,"RCP85","Rep2"
"13",5459,2028,491.31,"RCP85","Rep2"
"0",5427952,2029,488515.68,"RCP85","Rep2"
"1",1729689,2029,155672.01,"RCP85","Rep2"
"2",166442,2029,14979.78,"RCP85","Rep2"
"3",564943,2029,50844.87,"RCP85","Rep2"
"4",212050,2029,19084.5,"RCP85","Rep2"
"6",282942,2029,25464.78,"RCP85","Rep2"
"7",66190,2029,5957.1,"RCP85","Rep2"
"8",152776,2029,13749.84,"RCP85","Rep2"
"9",299116,2029,26920.44,"RCP85","Rep2"
"10",30490,2029,2744.1,"RCP85","Rep2"
"11",303608,2029,27324.72,"RCP85","Rep2"
"12",278374,2029,25053.66,"RCP85","Rep2"
"13",5432,2029,488.88,"RCP85","Rep2"
"0",5426944,2030,488424.96,"RCP85","Rep2"
"1",1732114,2030,155890.26,"RCP85","Rep2"
"2",165241,2030,14871.69,"RCP85","Rep2"
"3",564261,2030,50783.49,"RCP85","Rep2"
"4",212038,2030,19083.42,"RCP85","Rep2"
"6",284724,2030,25625.16,"RCP85","Rep2"
"7",66210,2030,5958.9,"RCP85","Rep2"
"8",152762,2030,13748.58,"RCP85","Rep2"
"9",298177,2030,26835.93,"RCP85","Rep2"
"10",30180,2030,2716.2,"RCP85","Rep2"
"11",303423,2030,27308.07,"RCP85","Rep2"
"12",278496,2030,25064.64,"RCP85","Rep2"
"13",5434,2030,489.06,"RCP85","Rep2"
"0",5425950,2031,488335.5,"RCP85","Rep2"
"1",1734144,2031,156072.96,"RCP85","Rep2"
"2",161930,2031,14573.7,"RCP85","Rep2"
"3",566014,2031,50941.26,"RCP85","Rep2"
"4",212522,2031,19126.98,"RCP85","Rep2"
"6",286409,2031,25776.81,"RCP85","Rep2"
"7",66226,2031,5960.34,"RCP85","Rep2"
"8",152742,2031,13746.78,"RCP85","Rep2"
"9",296864,2031,26717.76,"RCP85","Rep2"
"10",29979,2031,2698.11,"RCP85","Rep2"
"11",303198,2031,27287.82,"RCP85","Rep2"
"12",278592,2031,25073.28,"RCP85","Rep2"
"13",5434,2031,489.06,"RCP85","Rep2"
"0",5424968,2032,488247.12,"RCP85","Rep2"
"1",1735862,2032,156227.58,"RCP85","Rep2"
"2",155701,2032,14013.09,"RCP85","Rep2"
"3",572778,2032,51550.02,"RCP85","Rep2"
"4",210814,2032,18973.26,"RCP85","Rep2"
"6",288373,2032,25953.57,"RCP85","Rep2"
"7",66246,2032,5962.14,"RCP85","Rep2"
"8",152714,2032,13744.26,"RCP85","Rep2"
"9",295807,2032,26622.63,"RCP85","Rep2"
"10",29838,2032,2685.42,"RCP85","Rep2"
"11",302789,2032,27251.01,"RCP85","Rep2"
"12",278680,2032,25081.2,"RCP85","Rep2"
"13",5434,2032,489.06,"RCP85","Rep2"
"0",5423992,2033,488159.28,"RCP85","Rep2"
"1",1737408,2033,156366.72,"RCP85","Rep2"
"2",152948,2033,13765.32,"RCP85","Rep2"
"3",575347,2033,51781.23,"RCP85","Rep2"
"4",209683,2033,18871.47,"RCP85","Rep2"
"6",290545,2033,26149.05,"RCP85","Rep2"
"7",66293,2033,5966.37,"RCP85","Rep2"
"8",152691,2033,13742.19,"RCP85","Rep2"
"9",294551,2033,26509.59,"RCP85","Rep2"
"10",29697,2033,2672.73,"RCP85","Rep2"
"11",302658,2033,27239.22,"RCP85","Rep2"
"12",278755,2033,25087.95,"RCP85","Rep2"
"13",5436,2033,489.24,"RCP85","Rep2"
"0",5433783,2034,489040.47,"RCP85","Rep2"
"1",1738446,2034,156460.14,"RCP85","Rep2"
"2",152926,2034,13763.34,"RCP85","Rep2"
"3",572934,2034,51564.06,"RCP85","Rep2"
"4",210705,2034,18963.45,"RCP85","Rep2"
"6",291732,2034,26255.88,"RCP85","Rep2"
"7",66597,2034,5993.73,"RCP85","Rep2"
