Time,EcoName,ActiveCount,AvgLiveB,AvgAG_NPP,AvgLitterB,AvgDefoliation,
97, 28, 7166, 4995.91222439297, 197.236144797786, 95.6424783700809, 5.17413844505097, 
97, 31, 4108, 4081.19084712756, 198.392570057319, 100.89970788705, 1.97391900049502, 
97, 33, 55919, 11410.9187753715, 340.111087928437, 194.998497827214, 11.2856181613459, 
97, 35, 3291, 11659.710726223, 395.425036109444, 211.169249468247, 7.85357616148575, 
97, 36, 1891, 11758.1856160762, 367.359853963373, 202.296668429402, 10.4811348918898, 
97, 37, 78234, 11025.9454201498, 312.900067494396, 178.365851164455, 8.83362239898096, 
97, 38, 36436, 11262.7563398836, 342.410768535858, 199.221319574048, 9.73628199610468, 
97, 40, 52088, 11052.4909960068, 329.748464601643, 181.515819382583, 10.0018520825172, 
97, 45, 46044, 11759.1205368778, 337.616469872298, 170.770632438537, 13.2702685334308, 
97, 52, 179922, 8518.06098198108, 270.581620196409, 115.047175998488, 12.1103152671447, 
97, 53, 78866, 7649.7400527477, 268.531808703705, 114.084117363629, 13.0032006722442, 
97, 62, 8624, 11626.5403525046, 369.193344263429, 206.008812615955, 7.83038448655325, 
97, 65, 12462, 5002.45883485797, 202.007757636696, 100.520542449045, 2.87029436140913, 
97, 79, 32523, 11946.6366878824, 337.511410537631, 172.114657319435, 15.0581387694116, 
97, 80, 42117, 11083.8748486359, 311.898497642066, 175.571004582473, 10.2976601732376, 
97, 88, 5372, 8332.91492926284, 275.662593937685, 123.017870439315, 13.9572284407803, 
98, 2, 10512, 12171.1506849315, 391.61173832441, 230.351788432268, 7.01101883923751, 
98, 3, 6756, 12147.1304026051, 391.410448019873, 237.712847838958, 7.5384388180692, 
98, 4, 22531, 11696.8481647508, 369.226516065818, 223.295282055834, 6.46947101346428, 
98, 5, 21273, 11715.623278334, 353.119285563943, 207.830066281202, 7.07360870537353, 
98, 7, 51231, 11018.3939021296, 312.207684497953, 181.561222697195, 7.74190631996288, 
98, 8, 136297, 10979.0072635495, 307.045854751595, 184.644181456672, 6.49521718045183, 
98, 11, 115650, 10997.2604669261, 320.648910777326, 180.653108517077, 7.59009388008907, 
98, 12, 55809, 11156.3013492447, 322.586031209578, 186.977978462255, 7.38272714070965, 
