LandisData	"Dynamic Input Data"				
					
>>Year	Ecoregion	Species	ProbEst	MaxANPP	MaxB
>>____	_________	_______	_______	_______	____
0	14	PRUNPENS	0.982	1191	35730
0	14	PRUNSERO	0.195	1333	39990
0	14	QUERALBA	0.214	1244	37320
0	14	QUERRUBR	0.588	975	29250
0	14	TILIAMER	0.134	1678	50340
0	14	TSUGCANA	0.533	525	15750
0	17	ABIEBALS	0.9	628	18840
0	17	ACERPENS	0.174	1090	10900
0	17	ACERRUBR	0.049	859	25770
0	17	ACERSACC	0.192	1187	35610
0	17	BETUALLE	0.508	1087	32610
0	17	BETULENT	0.012	1087	32610
0	17	BETUPAPY	0.901	1138	34140
0	17	CARYCORD	0.006	1260	37800
0	17	CARYOVAT	0	1260	37800
0	17	FAGUGRAN	0.021	982	29460
0	17	FRAXAMER	0.033	998	29940
0	17	PICEABIE	0.491	380	19000
0	17	PICERUBE	0.404	385	19250
0	17	PINURESI	0.681	280	8400
0	17	PINUSTRO	0.368	923	27690
0	17	POPUGRAN	0.368	1290	38700
0	17	POPUTREM	0.774	1011	30330
0	17	PRUNPENS	0.944	1134	34020
0	17	PRUNSERO	0.095	1279	38370
0	17	QUERALBA	0.1	1190	35700
0	17	QUERRUBR	0.442	926	27780
0	17	TILIAMER	0.012	1621	48630
0	17	TSUGCANA	0.397	560	16800
0	20	ABIEBALS	0.893	656	19680
0	20	ACERPENS	0.109	1064	10640
0	20	ACERRUBR	0.025	835	25050
0	20	ACERSACC	0.112	1157	34710
0	20	BETUALLE	0.393	1059	31770
0	20	BETULENT	0.005	1059	31770
0	20	BETUPAPY	0.9	1107	33210
0	20	CARYCORD	0.003	1223	36690
0	20	CARYOVAT	0	1223	36690
0	20	FAGUGRAN	0.012	956	28680
0	20	FRAXAMER	0.017	970	29100
0	20	PICEABIE	0.38	398	19900
0	20	PICERUBE	0.374	787	23616
0	20	PINURESI	0.539	266	7980
0	20	PINUSTRO	0.282	899	26970
0	20	POPUGRAN	0.281	1257	37710
0	20	POPUTREM	0.721	982	29460
0	20	PRUNPENS	0.913	1099	32970
0	20	PRUNSERO	0.059	1248	37440
0	20	QUERALBA	0.065	1157	34710
0	20	QUERRUBR	0.371	898	26940
0	20	TILIAMER	0.005	1586	47580
0	20	TSUGCANA	0.333	583	17490
0	24	ABIEBALS	0.85	684	20520
0	24	ACERPENS	0.006	684	10120
0	24	ACERRUBR	0.002	684	20520
0	24	ACERSACC	0.015	547	16416
0	24	BETUALLE	0.165	547	16416
0	24	BETULENT	0	684	20520
0	24	BETUPAPY	0.896	684	20520
0	24	CARYCORD	0	684	20520
0	24	CARYOVAT	0	684	20520
0	24	FAGUGRAN	0	547	16416
0	24	FRAXAMER	0	684	20520
0	24	PICEABIE	0.159	684	20520
0	24	PICERUBE	0.12	684	20520
0	24	PINURESI	0.235	236	7080
0	24	PINUSTRO	0.115	684	20520
0	24	POPUGRAN	0.115	684	20520
0	24	POPUTREM	0.599	684	20520
0	24	PRUNPENS	0.833	684	20520
0	24	PRUNSERO	0.01	684	20520
0	24	QUERALBA	0.01	684	20520
0	24	QUERRUBR	0.222	684	20520
0	24	TILIAMER	0	684	20520
0	24	TSUGCANA	0.197	604	18120
0	25	ABIEBALS	0.817	694	20820
0	25	ACERPENS	0.004	694	9850
0	25	ACERRUBR	0.001	694	20820
0	25	ACERSACC	0.007	555	16656
0	25	BETUALLE	0.093	555	16656
0	25	BETULENT	0	694	20820
0	25	BETUPAPY	0.891	694	20820
0	25	CARYCORD	0	694	20820
0	25	CARYOVAT	0	694	20820
0	25	FAGUGRAN	0	555	16656
0	25	FRAXAMER	0.001	694	20820
0	25	PICEABIE	0.089	694	20820
0	25	PICERUBE	0.069	694	20820
0	25	PINURESI	0.133	221	6630
0	25	PINUSTRO	0.065	694	20820
0	25	POPUGRAN	0.065	694	20820
0	25	POPUTREM	0.543	694	20820
0	25	PRUNPENS	0.793	694	20820
0	25	PRUNSERO	0.005	694	20820
0	25	QUERALBA	0.006	694	20820
0	25	QUERRUBR	0.16	694	20820
0	25	TILIAMER	0	694	20820
0	25	TSUGCANA	0.142	611	18330
0	26	ABIEBALS	0.829	698	20940
0	26	ACERPENS	0.001	698	9950
0	26	ACERRUBR	0	698	20940
0	26	ACERSACC	0.004	558	16752
0	26	BETUALLE	0.085	558	16752
0	26	BETULENT	0	698	20940
0	26	BETUPAPY	0.897	698	20940
0	26	CARYCORD	0	698	20940
0	26	CARYOVAT	0	698	20940
0	26	FAGUGRAN	0	558	16752
0	26	FRAXAMER	0	698	20940
